variant_id,stop_id
835364,271
835364,281
835364,378
835364,1153
835367,5296
835367,271
835367,281
835371,3517
835371,3518
835371,1218
835371,3894
835371,4138
835371,4123
835372,3517
835372,3518
835372,1218
835372,3894
835372,4138
835372,4123
835372,4375
835386,639
835386,3895
835409,396
835409,3890
835409,304
835409,2855
835410,3890
835410,304
835410,2855
835411,3890
835411,304
835412,1151
835412,305
835412,3891
835412,1002
835418,1151
835418,305
835418,3891
835419,1151
835419,305
835419,3891
835420,788
835420,5154
835420,5160
835420,240
835420,30
835420,305
835420,3900
835423,3901
835424,2479
835424,3217
835425,2479
835425,3217
835426,788
835430,3218
835430,788
835431,3901
835431,304
835431,2531
835431,5167
835431,5155
835436,3547
835440,1759
835440,1142
835441,5167
835441,5155
835441,212
835441,3547
835442,728
835452,3134
835452,481
835452,3891
835452,2341
835460,2528
835460,3901
835460,2855
835460,1174
835461,2528
835461,3901
835461,2855
835461,1174
835462,3131
835463,1306
835463,2863
835463,3900
835463,2527
835464,1266
835464,3412
835464,1306
835464,2863
835464,3900
835464,2527
835480,3901
835480,281
835481,636
835481,818
835481,964
835481,4381
835481,493
835481,494
835481,3900
835482,3901
835482,952
835482,815
835482,1782
835482,638
835495,5296
835495,271
835495,2863
835506,2855
835506,1142
835507,1759
835507,116
835509,1759
835509,1142
835546,4876
835546,4875
835546,4874
835546,4878
835546,1817
835546,2342
835546,1963
835546,2855
835546,1142
835556,4876
835556,4875
835556,4878
835556,1817
835556,2342
835556,1963
835556,2855
835571,4288
835571,4300
835571,4754
835571,4285
835571,4283
835571,1217
835571,357
835571,2527
835623,3908
835623,1548
835623,4897
835623,1868
835630,2356
835630,1501
835630,1580
835630,1544
835630,1397
835630,3907
835631,3908
835631,1398
835631,1541
835631,1581
835631,1502
835631,2355
835632,1573
835632,1501
835632,1580
835632,1544
835632,3523
835632,3902
835641,1573
835641,1501
835641,1580
835641,1419
835641,1547
835654,4250
835654,1543
835679,3908
835680,3902
835681,1396
835681,2034
835681,1417
835681,3521
835681,1397
835681,3902
835682,1398
835682,3522
835682,1418
835682,2031
835686,1396
