variant_id,stop_id
837059,1680
837059,1578
837059,1544
837059,1397
837060,1868
837104,1782
837104,638
837104,3124
837105,3123
837105,636
837106,4647
837106,636
837106,3536
837106,4699
837114,1548
837114,1420
837114,1581
837114,1502
837114,1572
837116,1542
837116,3523
837116,1548
837116,4899
837117,1548
837117,1420
837117,3521
837117,1541
837122,1396
837122,2034
837122,1417
837122,3521
837122,1397
837125,1897
837125,2034
837125,1417
837125,1543
837128,1680
837128,1578
837128,1544
837128,1397
837129,1396
837129,4898
837129,1547
837129,3902
837132,2356
837132,5180
837132,1595
837132,2033
837132,1750
837133,1407
837133,1532
837133,2818
837133,4684
837133,1679
837133,1502
837133,1572
837134,1897
837134,2034
837134,1417
837134,3521
837134,1541
837134,4684
837134,4572
837136,1868
837141,2818
837141,3523
837141,1419
837141,1471
837141,4899
837145,1581
837145,1502
837145,1572
837153,1531
837170,1497
837170,2818
837170,5310
837170,1868
837172,1680
837172,4250
837172,1614
837172,2817
837174,2820
837174,5310
837174,1868
837177,3902
837185,1398
837185,3522
837185,1418
837185,2033
837185,1628
837191,3522
837191,1581
837191,1502
837191,1572
837228,1531
837228,1408
837228,1542
837228,1579
837245,1397
837245,3907
837249,1532
837249,2818
837249,4684
837249,1679
837249,1502
837249,1572
837252,2818
837252,4684
837252,1679
837252,1502
837252,1572
837254,1531
837256,1397
837256,3907
837257,3902
837273,1897
837273,2032
837273,4250
837273,2817
837274,1629
837274,2034
837274,1417
837274,1533
837274,2817
837274,1496
837274,1604
837277,1532
837280,1897
837280,2032
837280,4250
837280,2817
837283,1629
837283,1433
837283,2034
837283,1417
837283,3521
837283,1397
837286,1897
837297,1680
837297,1578
837297,1544
837297,1397
837299,1396
837299,4898
837299,1547
837300,1548
837300,4897
837300,1868
837302,1407
837302,1532
837326,647
837326,639
837326,3899
837326,1248
837326,708
837326,711
837326,3421
837326,2305
837331,3421
837331,2273
837331,2305
837331,1945
837331,2871
837334,3514
837334,242
837334,212
837334,2579
837334,3416
837334,1251
837334,2999
837344,604
837344,708
837344,711
837344,3421
837344,2305
837344,2871
837347,2899
